field,outlier_values,normal_values,outlier_unique_values,normal_unique_values,distinguishes_outliers,comment
ca_source_page_or_note,LCFS_Detail,LCFS_Detail,,,False,overlaps/no clear distinction
or_version_date,2025-07-10,2025-07-10,,,False,overlaps/no clear distinction
or_expiration_date,Q4 2025,Q4 2025,,,False,overlaps/no clear distinction
or_pathway_status,,,,,False,overlaps/no clear distinction
or_feedstock_text,Corn,Corn,,,False,overlaps/no clear distinction
or_process_text,Other,Dry Mill; Other,,Dry Mill,False,overlaps/no clear distinction
or_coproduct_text,WDGS,DDGS; DDGS+WDGS; WDGS,,DDGS; DDGS+WDGS,False,overlaps/no clear distinction
or_transport_description,"POET Biorefining - Coon Rapids, LLC (Company ID 4783; Facility ID 70031). Corn Ethanol; Dry/Wet DGS. Railed to Oregon.; POET Biorefining - Corning, LLC (Company ID 5046; Facility ID 70143). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.; POET Biorefining - Jewell, LLC (Company ID 4786; Facility ID 70014). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.","Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.; Poet Biorefining-Chancellor. Company ID: 4727. Facility ID: 70012. Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD; Ethanol transported by rail to Oregon, Composite CI.; Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016. Pathway Description: Midwest Corn, Dry Mill, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in  Mitchell, SD; Ethanol transported by rail to Oregon; Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016.Pathway Description: Midwest Corn, Dry Mill, Dry DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in Mitchell, SD; Ethanol transported by rail to Oregon","POET Biorefining - Coon Rapids, LLC (Company ID 4783; Facility ID 70031). Corn Ethanol; Dry/Wet DGS. Railed to Oregon.; POET Biorefining - Corning, LLC (Company ID 5046; Facility ID 70143). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.; POET Biorefining - Jewell, LLC (Company ID 4786; Facility ID 70014). Corn Ethanol. Dry/Wet DGS. Railed to Oregon.","Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4736) Big Stone (Facility ID: 70025). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4791) Hudson (Facility ID: 70022). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, DDGS, Transported by rail to Oregon.; Poet Biorefining (Company ID: 4793) Groton (Facility ID: 70013). Midwest Corn, Ethanol, WDGS, Transported by rail to Oregon.; Poet Biorefining-Chancellor. Company ID: 4727. Facility ID: 70012. Midwest Corn, Dry Mill; Dry DGS, Modified, and Wet DGS, Corn oil and Syrup; Natural Gas, Grid Electricity, Biomethane, and Biomass; Starch Ethanol produced in Chancellor, SD; Ethanol transported by rail to Oregon, Composite CI.; Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016. Pathway Description: Midwest Corn, Dry Mill, Wet DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in  Mitchell, SD; Ethanol transported by rail to Oregon; Poet Biorefining-Mitchell. Company ID: 4789.  Facility ID: 70016.Pathway Description: Midwest Corn, Dry Mill, Dry DGS; Corn Oil and Syrup using natural gas and grid electricity; Corn starch ethanol produced in Mitchell, SD; Ethanol transported by rail to Oregon",True,materially different
or_destination_market,Oregon,Oregon,,,False,overlaps/no clear distinction
or_electricity_text,,Grid Electricity,,Grid Electricity,False,overlaps/no clear distinction
or_gas_text,,Natural Gas,,Natural Gas,False,overlaps/no clear distinction
or_source_page_or_note,OR_LCFS_Detail,OR_LCFS_Detail,,,False,overlaps/no clear distinction
facility_id,70014; 70031; 70143,70012; 70013; 70016; 70022; 70025,70014; 70031; 70143,70012; 70013; 70016; 70022; 70025,True,materially different
fuel_code,,,,,False,overlaps/no clear distinction
